song,artist,year
SOMEONE LIKE YOU,ADELE,2011
MOVES LIKE JAGGER,MAROON 5 FEAT CHRISTINA AGUILERA,2011
PARTY ROCK ANTHEM,LMFAO/LAUREN BENNETT/GOONROCK,2011
PRICE TAG,JESSIE J FEAT BOB,2011
WE FOUND LOVE,RIHANNA FEAT CALVIN HARRIS,2011
GIVE ME EVERYTHING,PITBULL/NE-YO/AFROJACK/NAYER,2011
GRENADE,BRUNO MARS,2011
THE A TEAM,ED SHEERAN,2011
ROLLING IN THE DEEP,ADELE,2011
ON THE FLOOR,JENNIFER LOPEZ FEAT PITBULL,2011
JAR OF HEARTS,CHRISTINA PERRI,2011
S&M,RIHANNA,2011
WHEREVER YOU ARE,MILITARY WIVES/GARETH MALONE,2011
BORN THIS WAY,LADY GAGA,2011
THE LAZY SONG,BRUNO MARS,2011
BEAUTIFUL PEOPLE,CHRIS BROWN FEAT BENNY BENASSI,2011
CHANGED THE WAY YOU KISS ME,EXAMPLE,2011
I NEED A DOLLAR,ALOE BLACC,2011
SWEAT,SNOOP DOGG,2011
WHAT MAKES YOU BEAUTIFUL,ONE DIRECTION,2011
HEART SKIPS A BEAT,OLLY MURS FEAT RIZZLE KICKS,2011
MR SAXOBEAT,ALEXANDRA STAN,2011
EARTHQUAKE,LABRINTH FEAT TINIE TEMPAH,2011
GLAD YOU CAME,WANTED,2011
LOUDER,DJ FRESH FEAT SIAN EVANS,2011
DO IT LIKE A DUDE,JESSIE J,2011
THE EDGE OF GLORY,LADY GAGA,2011
YEAH 3X,CHRIS BROWN,2011
SET FIRE TO THE RAIN,ADELE,2011
SUPER BASS,NICKI MINAJ,2011
SEXY AND I KNOW IT,LMFAO,2011
WHERE THEM GIRLS AT,DAVID GUETTA/FLO RIDA/MINAJ,2011
DON'T HOLD YOUR BREATH,NICOLE SCHERZINGER,2011
BEST THING I NEVER HAD,BEYONCE,2011
BOUNCE,CALVIN HARRIS FEAT KELIS,2011
ET,KATY PERRY FEAT KANYE WEST,2011
READ ALL ABOUT IT,PROFESSOR GREEN FEAT EMELI SANDE,2011
CHAMPION,CHIPMUNK FEAT CHRIS BROWN,2011
PARADISE,COLDPLAY,2011
LEGO HOUSE,ED SHEERAN,2011
SOMEBODY THAT I USED TO KNOW,GOTYE FT KIMBRA,2012
CALL ME MAYBE,CARLY RAE JEPSEN,2012
WE ARE YOUNG,FUN. FT JANELLE MONAE,2012
TITANIUM,DAVID GUETTA FT SIA,2012
IMPOSSIBLE,JAMES ARTHUR,2012
GANGNAM STYLE,PSY,2012
STARSHIPS,NICKI MINAJ,2012
DOMINO,JESSIE J,2012
PAYPHONE,MAROON 5 FT WIZ KHALIFA,2012
WILD ONES,FLO RIDA FT SIA,2012
DIAMONDS,RIHANNA,2012
BENEATH YOUR BEAUTIFUL,LABRINTH FT EMELI SANDE,2012
DON'T YOU WORRY CHILD,SWEDISH HOUSE MAFIA/MARTIN,2012
NEXT TO ME,EMELI SANDE,2012
WHISTLE,FLO RIDA,2012
FEEL THE LOVE,RUDIMENTAL FT JOHN NEWMAN,2012
MAMA DO THE HUMP,RIZZLE KICKS,2012
TOO CLOSE,ALEX CLARE,2012
SPECTRUM,FLORENCE & THE MACHINE,2012
SKYFALL,ADELE,2012
HALL OF FAME,THE SCRIPT FT WILL.I.AM,2012
CANDY,ROBBIE WILLIAMS,2012
DRIVE BY,TRAIN,2012
HOT RIGHT NOW,DJ FRESH FT RITA ORA,2012
PRINCESS OF CHINA,COLDPLAY & RIHANNA,2012
WE ARE NEVER EVER GETTING BACK TOGETHER,TAYLOR SWIFT,2012
BLACK HEART,STOOSHE,2012
R.I.P.,RITA ORA FT TINIE TEMPAH,2012
TROUBLEMAKER,OLLY MURS FT FLO RIDA,2012
SEXY AND I KNOW IT,LMFAO,2012
N****S IN PARIS,JAY-Z & KANYE WEST,2012
WHERE HAVE YOU BEEN,RIHANNA,2012
LOCKED OUT OF HEAVEN,BRUNO MARS,2012
CALL MY NAME,CHERYL,2012
TURN ME ON,DAVID GUETTA FT NICKI MINAJ,2012
STRONGER (WHAT DOESN'T KILL YOU),KELLY CLARKSON,2012
DON'T WAKE ME UP,CHRIS BROWN,2012
HEATWAVE,WILEY FT MS D,2012
THIS IS LOVE,WILL.I.AM FT EVA SIMONS,2012
WINGS,LITTLE MIX,2012
BLURRED LINES,ROBIN THICKE/TI/PHARRELL,2013
GET LUCKY,DAFT PUNK FEAT PHARRELL WILLIAMS,2013
WAKE ME UP,AVICII,2013
LET HER GO,PASSENGER,2013
LA LA LA,NAUGHTY BOY FEAT SAM SMITH,2013
ROAR,KATY PERRY,2013
THRIFT SHOP,MACKLEMORE/RYAN LEWIS/WANZ,2013
JUST GIVE ME A REASON,PINK FEAT NATE RUESS,2013
COUNTING STARS,ONEREPUBLIC,2013
MIRRORS,JUSTIN TIMBERLAKE,2013
POMPEII,BASTILLE,2013
WAITING ALL NIGHT,RUDIMENTAL FEAT ELLA EYRE,2013
CAN'T HOLD US,MACKLEMORE/RYAN LEWIS/DALTON,2013
LOVE ME AGAIN,JOHN NEWMAN,2013
BURN,ELLIE GOULDING,2013
WHEN I WAS YOUR MAN,BRUNO MARS,2013
I KNEW YOU WERE TROUBLE,TAYLOR SWIFT,2013
SCREAM & SHOUT,WILL I AM FEAT BRITNEY SPEARS,2013
I LOVE IT,ICONA POP FEAT CHARLI XCX,2013
DEAR DARLIN',OLLY MURS,2013
HO HEY,LUMINEERS,2013
STAY,RIHANNA FEAT MIKKY EKKO,2013
SUMMERTIME SADNESS,LANA DEL REY VS CEDRIC GERVAIS,2013
ONE WAY OR ANOTHER (TEENAGE KICKS),ONE DIRECTION,2013
TALK DIRTY,JASON DERULO FEAT 2 CHAINZ,2013
THE MONSTER,EMINEM FEAT RIHANNA,2013
I COULD BE THE ONE,AVICII VS NICKY ROMERO,2013
WE CAN'T STOP,MILEY CYRUS,2013
WHITE NOISE,DISCLOSURE FEAT ALUNAGEORGE,2013
RADIOACTIVE,IMAGINE DRAGONS,2013
HOLD ON WE'RE GOING HOME,DRAKE FEAT MAJID JORDAN,2013
I NEED YOUR LOVE,CALVIN HARRIS/ELLIE GOULDING,2013
BANG BANG,WILL I AM,2013
SOMEWHERE ONLY WE KNOW,LILY ALLEN,2013
NEED U (100 PERCENT),DUKE DUMONT FEAT AME,2013
PLAY HARD,DAVID GUETTA FEAT NE-YO & AKON,2013
WHAT ABOUT US,SATURDAYS FEAT SEAN PAUL,2013
WILD,JESSIE J/BIG SEAN/D RASCAL,2013
THE OTHER SIDE,JASON DERULO,2013
DRINKING FROM THE BOTTLE,CALVIN HARRIS FEAT TINIE TEMPAH,2013
HAPPY,PHARRELL WILLIAMS,2014
RATHER BE,CLEAN BANDIT FT JESS GLYNNE,2014
ALL OF ME,JOHN LEGEND,2014
WAVES,MR PROBZ,2014
GHOST,ELLA HENDERSON,2014
TIMBER,PITBULL FT KESHA,2014
THINKING OUT LOUD,ED SHEERAN,2014
STAY WITH ME,SAM SMITH,2014
ALL ABOUT THAT BASS,MEGHAN TRAINOR,2014
LET IT GO,IDINA MENZEL,2014
SHAKE IT OFF,TAYLOR SWIFT,2014
SING,ED SHEERAN,2014
BUDAPEST,GEORGE EZRA,2014
MY LOVE,ROUTE 94 FT JESS GLYNNE,2014
NOBODY TO LOVE,SIGMA,2014
RUDE,MAGIC,2014
HIDEAWAY,KIESZA,2014
DARK HORSE,KATY PERRY FT JUICY J,2014
MONEY ON MY MIND,SAM SMITH,2014
DO THEY KNOW IT'S CHRISTMAS,BAND AID 30,2014
I GOT U,DUKE DUMONT FT JAX JONES,2014
SUMMER,CALVIN HARRIS,2014
UPTOWN FUNK,MARK RONSON FT BRUNO MARS,2014
HEY BROTHER,AVICII,2014
BANG BANG,JESSIE J/GRANDE/MINAJ,2014
PRAYER IN C,LILLY WOOD & ROBIN SCHULZ,2014
PROBLEM,ARIANA GRANDE FT IGGY AZALEA,2014
I WILL NEVER LET YOU DOWN,RITA ORA,2014
AM I WRONG,NICO & VINZ,2014
I'M NOT THE ONLY ONE,SAM SMITH,2014
SAY SOMETHING,A GREAT BIG WORLD/AGUILERA,2014
ONLY LOVE CAN HURT LIKE THIS,PALOMA FAITH,2014
FANCY,IGGY AZALEA FT CHARLI XCX,2014
CHANGING,SIGMA FT PALOMA FAITH,2014
HOW LONG WILL I LOVE YOU,ELLIE GOULDING,2014
FEELIN' MYSELF,WILL I AM/CYRUS/KHALIFA,2014
BLAME,CALVIN HARRIS FT JOHN NEWMAN,2014
LOYAL,CHRIS BROWN/LIL WAYNE/TYGA,2014
TRUMPETS,JASON DERULO,2014
GECKO (OVERDRIVE),OLIVER HELDENS & BECKY HILL,2014
UPTOWN FUNK,MARK RONSON FEAT BRUNO MARS,2015
CHEERLEADER (FELIX JAEHN REMIX),OMI,2015
TAKE ME TO CHURCH,HOZIER,2015
LOVE ME LIKE YOU DO,ELLIE GOULDING,2015
SEE YOU AGAIN,WIZ KHALIFA FEAT CHARLIE PUTH,2015
HELLO,ADELE,2015
LEAN ON,MAJOR LAZER FEAT MO & DJ SNAKE,2015
HOLD BACK THE RIVER,JAMES BAY,2015
WHAT DO YOU MEAN,JUSTIN BIEBER,2015
SORRY,JUSTIN BIEBER,2015
KING,YEARS & YEARS,2015
THINKING OUT LOUD,ED SHEERAN,2015
SUGAR,MAROON 5,2015
HOLD MY HAND,JESS GLYNNE,2015
WHERE ARE U NOW,SKRILLEX & DIPLO/JUSTIN BIEBER,2015
WANT TO WANT ME,JASON DERULO,2015
ARE YOU WITH ME,LOST FREQUENCIES,2015
FOURFIVE SECONDS,RIHANNA/KANYE WEST/MCCARTNEY,2015
SHUT UP & DANCE,WALK THE MOON,2015
HOW DEEP IS YOUR LOVE,CALVIN HARRIS & DISCIPLES,2015
CAN'T FEEL MY FACE,WEEKND,2015
FIRESTONE,KYGO FEAT CONRAD SEWELL,2015
TRAP QUEEN,FETTY WAP,2015
LOVE YOURSELF,JUSTIN BIEBER,2015
THE HILLS,WEEKND,2015
EARNED IT,WEEKND,2015
BLACK MAGIC,LITTLE MIX,2015
WISH YOU WERE MINE,PHILIP GEORGE,2015
PHOTOGRAPH,ED SHEERAN,2015
THE NIGHTS,AVICII,2015
RUNAWAY (U & I),GALANTIS,2015
ELASTIC HEART,SIA,2015
BLOODSTREAM,ED SHEERAN,2015
MARVIN GAYE,CHARLIE PUTH FEAT MEGHAN TRAINOR,2015
UP,OLLY MURS FEAT DEMI LOVATO,2015
NOT LETTING GO,TINIE TEMPAH FEAT JESS GLYNNE,2015
SHINE,YEARS & YEARS,2015
AYO,CHRIS BROWN & TYGA,2015
DON'T BE SO HARD ON YOURSELF,JESS GLYNNE,2015
HOTLINE BLING,DRAKE,2015
ONE DANCE,DRAKE FEAT WIZKID & KYLA,2016
7 YEARS,LUKAS GRAHAM,2016
CHEAP THRILLS,SIA,2016
I TOOK A PILL IN IBIZA,MIKE POSNER,2016
THIS IS WHAT YOU CAME FOR,CALVIN HARRIS FEAT RIHANNA,2016
LUSH LIFE,ZARA LARSSON,2016
CLOSER,CHAINSMOKERS FEAT HALSEY,2016
LOVE YOURSELF,JUSTIN BIEBER,2016
WORK,RIHANNA FEAT DRAKE,2016
CAN'T STOP THE FEELING,JUSTIN TIMBERLAKE,2016
STITCHES,SHAWN MENDES,2016
DANCING ON MY OWN,CALUM SCOTT,2016
FAST CAR,JONAS BLUE & DAKOTA,2016
COLD WATER,MAJOR LAZER/JUSTIN BIEBER/MØ,2016
WORK FROM HOME,FIFTH HARMONY FEAT TY DOLLA SIGN,2016
SORRY,JUSTIN BIEBER,2016
DON'T LET ME DOWN,CHAINSMOKERS FEAT DAYA,2016
TOO GOOD,DRAKE FEAT RIHANNA,2016
SAY YOU WON'T LET GO,JAMES ARTHUR,2016
LIGHT IT UP,MAJOR LAZER FEAT NYLA,2016
HYMN FOR THE WEEKEND,COLDPLAY,2016
THIS GIRL,KUNGS VS COOKIN' ON 3 BURNERS,2016
CAKE BY THE OCEAN,DNCE,2016
PILLOWTALK,ZAYN,2016
LET ME LOVE YOU,DJ SNAKE FEAT JUSTIN BIEBER,2016
GIRLS LIKE,TINIE TEMPAH FEAT ZARA LARSSON,2016
TREAT YOU BETTER,SHAWN MENDES,2016
FADED,ALAN WALKER,2016
PERFECT STRANGERS,JONAS BLUE FEAT JP COOPER,2016
NO MONEY,GALANTIS,2016
STRESSED OUT,TWENTY ONE PILOTS,2016
I HATE U I LOVE U,GNASH FEAT OLIVIA O'BRIEN,2016
TEARS,CLEAN BANDIT FEAT LOUISA JOHNSON,2016
STARBOY,WEEKND FEAT DAFT PUNK,2016
WHAT DO YOU MEAN,JUSTIN BIEBER,2016
PANDA,DESIIGNER,2016
ROCKABYE,CLEAN BANDIT,2016
HEATHENS,TWENTY ONE PILOTS,2016
SHOUT OUT TO MY EX,LITTLE MIX,2016
ALL MY FRIENDS,SNAKEHIPS FEAT TINASHE & CHANCE,2016
SHAPE OF YOU,ED SHEERAN,2017
DESPACITO (REMIX),LUIS FONSI/DADDY YANKEE/BIEBER,2017
CASTLE ON THE HILL,ED SHEERAN,2017
UNFORGETTABLE,FRENCH MONTANA FT SWAE LEE,2017
GALWAY GIRL,ED SHEERAN,2017
PERFECT,ED SHEERAN,2017
SYMPHONY,CLEAN BANDIT FT ZARA LARSSON,2017
HUMAN,RAG'N'BONE MAN,2017
SOMETHING JUST LIKE THIS,CHAINSMOKERS & COLDPLAY,2017
YOU DON'T KNOW ME,JAX JONES FT RAYE,2017
NEW RULES,DUA LIPA,2017
I'M THE ONE,DJ KHALED/BIEBER/QUAVO/CHANCE,2017
WILD THOUGHTS,DJ KHALED FT RIHANNA/TILLER,2017
MAMA,JONAS BLUE FT WILLIAM SINGE,2017
SOLO DANCE,MARTIN JENSEN,2017
THERE'S NOTHING HOLDIN' ME BACK,SHAWN MENDES,2017
TOUCH,LITTLE MIX,2017
HAVANA,CAMILA CABELLO FT YOUNG THUG,2017
SWALLA,JASON DERULO/NICKI MINAJ/TY,2017
STRIP THAT DOWN,LIAM PAYNE FT QUAVO,2017
DID YOU SEE,J HUS,2017
ROCKSTAR,POST MALONE FT 21 SAVAGE,2017
ROCKABYE,CLEAN BANDIT,2017
FEELS,HARRIS/PHARRELL/PERRY/BIG SEAN,2017
IT AIN'T ME,KYGO & SELENA GOMEZ,2017
ATTENTION,CHARLIE PUTH,2017
CALL ON ME,STARLEY,2017
PRETTY GIRL,MAGGIE LINDEMANN,2017
SEPTEMBER SONG,JP COOPER,2017
PASSIONFRUIT,DRAKE,2017
YOUR SONG,RITA ORA,2017
PARIS,CHAINSMOKERS,2017
POWER,LITTLE MIX,2017
SLIDE,CALVIN HARRIS/OCEAN/MIGOS,2017
ISSUES,JULIA MICHAELS,2017
THAT'S WHAT I LIKE,BRUNO MARS,2017
STAY,ZEDD & ALESSIA CARA,2017
ONE LAST TIME,ARIANA GRANDE,2017
TOO GOOD AT GOODBYES,SAM SMITH,2017
CIAO ADIOS,ANNE-MARIE,2017
ONE KISS,CALVIN HARRIS & DUA LIPA,2018
GOD'S PLAN,DRAKE,2018
SHOTGUN,GEORGE EZRA,2018
THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,2018
THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,2018
PERFECT,ED SHEERAN,2018
NICE FOR WHAT,DRAKE,2018
PARADISE,GEORGE EZRA,2018
NO TEARS LEFT TO CRY,ARIANA GRANDE,2018
FEEL IT STILL,PORTUGAL THE MAN,2018
IDGAF,DUA LIPA,2018
2002,ANNE-MARIE,2018
FRIENDS,MARSHMELLO & ANNE-MARIE,2018
FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,2018
IN MY FEELINGS,DRAKE,2018
SOLO,CLEAN BANDIT FT DEMI LOVATO,2018
HAVANA,CAMILA CABELLO FT YOUNG THUG,2018
THE GREATEST SHOW,JACKMAN/SETTLE/EFRON/ZENDAYA,2018
EASTSIDE,BENNY BLANCO/HALSEY/KHALID,2018
NEW RULES,DUA LIPA,2018
BETTER NOW,POST MALONE,2018
PSYCHO,POST MALONE FT TY DOLLA SIGN,2018
I LIKE IT,CARDI B/BAD BUNNY/J BALVIN,2018
ROCKSTAR,POST MALONE FT 21 SAVAGE,2018
PROMISES,CALVIN HARRIS & SAM SMITH,2018
GIRLS LIKE YOU,MAROON 5 FT CARDI B,2018
LULLABY,SIGALA & PALOMA FAITH,2018
YOUNGBLOOD,5 SECONDS OF SUMMER,2018
BARKING,RAMZ,2018
RIVER,EMINEM FT ED SHEERAN,2018
SHAPE OF YOU,ED SHEERAN,2018
REWRITE THE STARS,ZAC EFRON & ZENDAYA,2018
BODY,LOUD LUXURY FT BRANDO,2018
I'LL BE THERE,JESS GLYNNE,2018
THE MIDDLE,ZEDD/MAREN MORRIS/GREY,2018
LEAVE A LIGHT ON,TOM WALKER,2018
A MILLION DREAMS,ZIV ZAIFMAN/JACKMAN/WILLIAMS,2018
ALL THE STARS,KENDRICK LAMAR & SZA,2018
BREATHE,JAX JONES FT INA WROLDSEN,2018
TASTE,TYGA FT OFFSET,2018
SOMEONE YOU LOVED,LEWIS CAPALDI,2019
OLD TOWN ROAD,LIL NAS X,2019
I DON'T CARE,ED SHEERAN & JUSTIN BIEBER,2019
BAD GUY,BILLIE EILISH,2019
GIANT,CALVIN HARRIS & RAG'N'BONE MAN,2019
SWEET BUT PSYCHO,AVA MAX,2019
VOSSI BOP,STORMZY,2019
DANCE MONKEY,TONES & I,2019
DON'T CALL ME UP,MABEL,2019
SENORITA,SHAWN MENDES/CAMILA CABELLO,2019
PIECE OF YOUR HEART,MEDUZA FT GOODBOYS,2019
SHOTGUN,GEORGE EZRA,2019
LOCATION,DAVE FT BURNA BOY,2019
HOLD ME WHILE YOU WAIT,LEWIS CAPALDI,2019
SUNFLOWER,POST MALONE FT SWAE LEE,2019
7 RINGS,ARIANA GRANDE,2019
WOW.,POST MALONE,2019
LADBROKE GROVE,AJ TRACEY,2019
JUST YOU AND I,TOM WALKER,2019
SHALLOW,LADY GAGA & BRADLEY COOPER,2019
BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID,2019
DANCING WITH A STRANGER,SAM SMITH & NORMANI,2019
TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,2019
3 NIGHTS,DOMINIC FIKE,2019
BRUISES,LEWIS CAPALDI,2019
HIGHER LOVE,KYGO & WHITNEY HOUSTON,2019
GRACE,LEWIS CAPALDI,2019
NOTHING BREAKS LIKE A HEART,MARK RONSON FT MILEY CYRUS,2019
SUCKER,JONAS BROTHERS,2019
THANK U NEXT,ARIANA GRANDE,2019
HIGH HOPES,PANIC AT THE DISCO,2019
OPTIONS,NSG FT TION WAYNE,2019
BREAK UP WITH YOUR GIRLFRIEND I'M BORED,ARIANA GRANDE,2019
SOS,AVICII FT ALOE BLACC,2019
KEISHA & BECKY,RUSS & TION WAYNE,2019
BURY A FRIEND,BILLIE EILISH,2019
HAPPIER,MARSHMELLO FT BASTILLE,2019
RIDE IT,REGARD,2019
STRIKE A POSE,YOUNG T & BUGSEY FT AITCH,2019
WITHOUT ME,HALSEY,2019
BLINDING LIGHTS,WEEKND,2020
DANCE MONKEY,TONES & I,2020
ROSES,SAINT JHN,2020
BEFORE YOU GO,LEWIS CAPALDI,2020
HEAD & HEART,JOEL CORRY FT MNEK,2020
DON'T START NOW,DUA LIPA,2020
ROCKSTAR,DABABY FT RODDY RICCH,2020
SOMEONE YOU LOVED,LEWIS CAPALDI,2020
OWN IT,STORMZY/ED SHEERAN/BURNA BOY,2020
WATERMELON SUGAR,HARRY STYLES,2020
SAVAGE LOVE (LAXED - SIREN BEAT),JAWSH 685 & JASON DERULO,2020
THE BOX,RODDY RICCH,2020
SAY SO,DOJA CAT,2020
LONELY,JOEL CORRY,2020
BREAKING ME,TOPIC FT A7S,2020
ADORE YOU,HARRY STYLES,2020
RAIN ON ME,LADY GAGA & ARIANA GRANDE,2020
ROVER,S1MBA FT DTG,2020
PHYSICAL,DUA LIPA,2020
MOOD,24KGOLDN FT IANN DIOR,2020
DEATH BED,POWFU FT BEABADOOBEE,2020
LIFE IS GOOD,FUTURE FT DRAKE,2020
WAP,CARDI B FT MEGAN THEE STALLION,2020
BRUISES,LEWIS CAPALDI,2020
TOOSIE SLIDE,DRAKE,2020
BAD GUY,BILLIE EILISH,2020
GODZILLA,EMINEM FT JUICE WRLD,2020
MEMORIES,MAROON 5,2020
EVERYTHING I WANTED,BILLIE EILISH,2020
INTENTIONS,JUSTIN BIEBER FT QUAVO,2020
ROXANNE,ARIZONA ZERVAS,2020
RAIN,AITCH/AJ TRACEY/TAY KEITH,2020
FLOWERS,NATHAN DAWE FT JAYKAE,2020
FALLING,HARRY STYLES,2020
THIS CITY,SAM FISCHER,2020
SAVAGE,MEGAN THEE STALLION,2020
DINNER GUEST,AJ TRACEY FT MOSTACK,2020
RIDE IT,REGARD,2020
BLUEBERRY FAYGO,LIL MOSEY,2020
LIGHTER,NATHAN DAWE FT KSI,2020
BAD HABITS,ED SHEERAN,2021
GOOD 4 U,OLIVIA RODRIGO,2021
DRIVERS LICENSE,OLIVIA RODRIGO,2021
SAVE YOUR TEARS,WEEKND,2021
MONTERO (CALL ME BY YOUR NAME),LIL NAS X,2021
LEVITATING,DUA LIPA,2021
STAY,KID LAROI & JUSTIN BIEBER,2021
HEAT WAVES,GLASS ANIMALS,2021
BLINDING LIGHTS,WEEKND,2021
BODY,TION WAYNE & RUSS MILLIONS,2021
WELLERMAN,NATHAN EVANS/220KID/BILLEN TED,2021
EASY ON ME,ADELE,2021
FRIDAY,RITON/NIGHTCRAWLERS/MUFASA,2021
KISS ME MORE,DOJA CAT FT SZA,2021
SHIVERS,ED SHEERAN,2021
THE BUSINESS,TIESTO,2021
HEAD & HEART,JOEL CORRY FT MNEK,2021
BED,JOEL CORRY/RAYE/DAVID GUETTA,2021
WITHOUT YOU,KID LAROI,2021
LITTLE BIT OF LOVE,TOM GRENNAN,2021
COLD HEART,ELTON JOHN & DUA LIPA,2021
BLACK MAGIC,JONASU,2021
PEACHES,JUSTIN BIEBER/CAESAR/GIVEON,2021
HEARTBREAK ANTHEM,GALANTIS/GUETTA/LITTLE MIX,2021
LET'S GO HOME TOGETHER,ELLA HENDERSON & TOM GRENNAN,2021
LATEST TRENDS,A1 & J1,2021
REMEMBER,BECKY HILL & DAVID GUETTA,2021
DON'T PLAY,ANNE-MARIE/KSI/DIGITAL FARM,2021
YOUR LOVE (9PM),ATB/TOPIC/A7S,2021
SOMEONE YOU LOVED,LEWIS CAPALDI,2021
GOOSEBUMPS,TRAVIS SCOTT & HVME,2021
DEJA VU,OLIVIA RODRIGO,2021
MR BRIGHTSIDE,KILLERS,2021
LAST CHRISTMAS,WHAM,2021
PERFECT,ED SHEERAN,2021
PARADISE,MEDUZA & DERMOT KENNEDY,2021
ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,2021
DANCE MONKEY,TONES & I,2021
GET OUT MY HEAD,SHANE CODD,2021
I WANNA BE YOUR SLAVE,MANESKIN,2021
AS IT WAS,HARRY STYLES,2022
BAD HABITS,ED SHEERAN,2022
PERU,FIREBOY DML & ED SHEERAN,2022
GO,CAT BURNS,2022
SHIVERS,ED SHEERAN,2022
RUNNING UP THAT HILL,KATE BUSH,2022
HEAT WAVES,GLASS ANIMALS,2022
WHERE ARE YOU NOW,LOST FREQUENCIES/CALUM SCOTT,2022
AFRAID TO FEEL,LF SYSTEM,2022
SEVENTEEN GOING UNDER,SAM FENDER,2022
WE DON'T TALK ABOUT BRUNO,GAITAN/CASTILLO/ADASSA/FELIZ,2022
MAKE ME FEEL GOOD,BELTERS ONLY FT JAZZY,2022
COLD HEART,ELTON JOHN & DUA LIPA,2022
STARLIGHT,DAVE,2022
GREEN GREEN GRASS,GEORGE EZRA,2022
WHERE DID YOU GO,JAX JONES FT MNEK,2022
ABCDEFU,GAYLE,2022
BABY,AITCH/ASHANTI,2022
ABOUT DAMN TIME,LIZZO,2022
I AIN'T WORRIED,ONEREPUBLIC,2022
CRAZY WHAT LOVE CAN DO,DAVID GUETTA/HILL/HENDERSON,2022
EASY ON ME,ADELE,2022
DOWN UNDER,LUUDE FT COLIN HAY,2022
B.O.T.A. (BADDEST OF THEM ALL),ELIZA ROSE/INTERPLANETARY,2022
I'M GOOD (BLUE),DAVID GUETTA & BEBE REXHA,2022
LAST LAST,BURNA BOY,2022
ANOTHER LOVE,TOM ODELL,2022
FIRST CLASS,JACK HARLOW,2022
MR BRIGHTSIDE,KILLERS,2022
STAY,KID LAROI & JUSTIN BIEBER,2022
UNHOLY,SAM SMITH & KIM PETRAS,2022
LATE NIGHT TALKING,HARRY STYLES,2022
OVERSEAS,D-BLOCK EUROPE FT CENTRAL CEE,2022
BAM BAM,CAMILA CABELLO FT ED SHEERAN,2022
LAST CHRISTMAS,WHAM,2022
ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,2022
SAVE YOUR TEARS,THE WEEKND,2022
BREAK MY SOUL,BEYONCE,2022
SURFACE PRESSURE,JESSICA DARROW,2022
FORGET ME,LEWIS CAPALDI,2022
FLOWERS,MILEY CYRUS,2023
SPRINTER,DAVE & CENTRAL CEE,2023
ESCAPISM,RAYE FT 070 SHAKE,2023
ANTI-HERO,TAYLOR SWIFT,2023
MIRACLE,CALVIN HARRIS/ELLIE GOULDING,2023
CALM DOWN,REMA,2023
KILL BILL,SZA,2023
BOY'S A LIAR,PINKPANTHERESS,2023
AS IT WAS,HARRY STYLES,2023
PEOPLE,LIBIANCA,2023
CRUEL SUMMER,TAYLOR SWIFT,2023
SURE THING,MIGUEL,2023
I'M GOOD (BLUE),DAVID GUETTA & BEBE REXHA,2023
VAMPIRE,OLIVIA RODRIGO,2023
MESSY IN HEAVEN,VENBEE & GODDARD,2023
DAYLIGHT,DAVID KUSHNER,2023
DIE FOR YOU,WEEKND,2023
LAST CHRISTMAS,WHAM,2023
DANCE THE NIGHT (FROM BARBIE THE ALBUM),DUA LIPA,2023
REACT,SWITCH DISCO & ELLA HENDERSON,2023
ANOTHER LOVE,TOM ODELL,2023
MR BRIGHTSIDE,KILLERS,2023
CREEPIN',METRO BOOMIN/WEEKND/21 SAVAGE,2023
I AIN'T WORRIED,ONEREPUBLIC,2023
FORGET ME,LEWIS CAPALDI,2023
PAINT THE TOWN RED,DOJA CAT,2023
SOMEONE YOU LOVED,LEWIS CAPALDI,2023
GIVING ME,JAZZY,2023
ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,2023
BAD HABITS,ED SHEERAN,2023
EYES CLOSED,ED SHEERAN,2023
GREEN GREEN GRASS,GEORGE EZRA,2023
PRADA,CASSO/RAYE/D-BLOCK EUROPE,2023
UNHOLY,SAM SMITH & KIM PETRAS,2023
CEILINGS,LIZZY MCALPINE,2023
MADE YOU LOOK,MEGHAN TRAINOR,2023
10:35,TIESTO & TATE MCRAE,2023
SHIVERS,ED SHEERAN,2023
UNTIL I FOUND YOU,STEPHEN SANCHEZ,2023
RIPTIDE,VANCE JOY,2023
"""Love the Way You Lie""",Eminem featuring Rihanna,2010
"""When We Collide""",Matt Cardle,2010
"""Just the Way You Are""",Bruno Mars,2010
"""Only Girl (In the World)""",Rihanna,2010
"""OMG""",Usher featuring will.i.am,2010
"""Fireflies""",Owl City,2010
"""Airplanes""",B.o.B featuring Hayley Williams,2010
